name,author,narrator,time,releasedate,language,stars,price,ratings
Geronimo Stilton #11 & #12,GeronimoStilton,BillLobely,140,2008-04-08,English,5,468,34
The Burning Maze,RickRiordan,RobbieDaymond,788,2018-01-05,English,4.5,820,41
The Deep End,JeffKinney,DanRussell,123,2020-06-11,English,4.5,410,38
Daughter of the Deep,RickRiordan,SoneelaNankani,676,2021-05-10,English,4.5,615,12
"The Lightning Thief: Percy Jackson, Book 1",RickRiordan,JesseBernstein,600,2010-01-13,English,4.5,820,181
The Hunger Games: Special Edition,SuzanneCollins,TatianaMaslany,635,2018-10-30,English,5,656,72
Quest for the Diamond Sword,WinterMorgan,LukeDaniels,143,2014-11-25,English,5,233,11
The Dark Prophecy,RickRiordan,RobbieDaymond,752,2017-02-05,English,5,820,50
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,656,2017-02-05,English,5,1256,5
The Tyrant’s Tomb,RickRiordan,RobbieDaymond,802,2019-09-24,English,5,820,58
"The Titan's Curse: Percy Jackson, Book 3",RickRiordan,JesseBernstein,528,2010-01-14,English,4.5,820,130
Magic Tree House Collection: Books 9-16,MaryPopeOsborne,MaryPopeOsborne,323,2011-08-24,English,5,1206,6
Magic Tree House Collection: Books 1-8,MaryPopeOsborne,MaryPopeOsborne,361,2011-09-27,English,5,1206,7
Magnus Chase and the Ship of the Dead,RickRiordan,MichaelCrouch,778,2017-03-10,English,5,820,41
Northern Lights,PhilipPullman,"PhilipPullman,fullcast,RuthWilson",715,2021-06-24,English,4,1093,2
Geronimo Stilton #13 and #14,GeronimoStilton,BillLobley,145,2008-08-02,English,4.5,467,33
Magic Tree House Collection,MaryPopeOsborne,MaryPopeOsborne,304,2004-12-26,English,5,1206,7
Exile,ShannonMessenger,CaitlinKelly,881,2018-06-11,English,5,836,20
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,618,2017-02-05,English,5,1256,11
Neverseen,ShannonMessenger,CaitlinKelly,1002,2018-06-11,English,5,1003,13
The Tower of Nero,RickRiordan,RobbieDaymond,732,2020-06-10,English,5,615,79
"Eldest: The Inheritance Cycle, Book 2",ChristopherPaolini,GerrardDoyle,1409,2009-04-14,English,4.5,957,47
Artemis Fowl,EoinColfer,GerryO'Brien,406,2013-11-04,English,5,683,27
Geronimo Stilton 22 & 24,GeronimoStilton,BillLobley,157,2011-01-02,English,4.5,469,25
Percy Jackson and the Battle of the Labyrinth,RickRiordan,JesseBernstein,632,2010-01-21,English,5,820,101
Winnie-the-Pooh,A.A.Milne,PeterDennis,166,2003-12-28,English,5,468,15
Magic Tree House Collection: Books 25-32,MaryPopeOsborne,MaryPopeOsborne,429,2020-01-09,English,5,1256,3
Geronimo Stilton #20 and #21,GeronimoStilton,BillLobley,152,2010-01-10,English,5,469,18
The Red Pyramid,RickRiordan,"JaneCollingwood,JosephMay",824,2013-01-24,English,4.5,820,37
Mystery of the Griefer's Mark,WinterMorgan,LukeDaniels,113,2014-11-25,English,5,233,9
Geronimo Stilton #17,GeronimoStilton,BillLobley,148,2009-07-13,English,5,468,8
The House at Pooh Corner,A.A.Milne,PeterDennis,192,2005-05-04,English,5,374,5
Mission Unstoppable,DanGutman,MichaelGoldstrom,368,2013-01-08,English,5,702,8
Darkness of Dragons,TuiT.Sutherland,ShannonMcManus,626,2017-01-08,English,5,656,8
"14 Short Stories Bundle for Kids: Adventure, Science Fiction, Aesop’s Fables, Classic Fairy Tales and Christmas Story Books for Children",NayomiPhillips,"MonicaRachelle,JimD.Johnston,KatieOtten",193,2019-01-22,English,0,501,0
The Adventures of Rusty,RuskinBond,NehaGargava,341,2018-01-11,Hindi,4.5,284,10
Geronimo Stilton #15 and #16,GeronimoStilton,BillLobley,163,2008-08-02,English,4,467,28
The Lost Heir,TuiT.Sutherland,ShannonMcManus,443,2016-04-02,English,5,575,9
Everblaze,ShannonMessenger,CaitlinKelly,879,2018-06-11,English,5,836,18
Treasure Hunters in Trouble,WinterMorgan,LukeDaniels,118,2015-03-31,English,5,668,7
Lodestar,ShannonMessenger,CaitlinKelly,991,2018-06-11,English,5,1003,19
Curse of the Arctic Star,CarolynKeene,JorjeanaMarie,215,2014-12-28,English,4.5,305,25
The Ghost of Grey Fox Inn,CarolynKeene,JorjeanaMarie,199,2017-03-20,English,5,305,11
Rowley Jefferson's Awesome Friendly Adventure,JeffKinney,ChristopherGebauer,91,2020-04-08,English,4,410,16
Flashback,ShannonMessenger,CaitlinKelly,1389,2018-11-12,English,5,1170,12
Secret of the Red Arrow,FranklinW.Dixon,TimGregory,213,2015-04-11,English,4.5,305,16
"The Lightning Thief: Percy Jackson, Book 1",RickRiordan,WalterLewis,231,2010-01-13,English,4,615,4
Clash of the Creepers,WinterMorgan,LukeDaniels,121,2015-07-07,English,5,233,10
The Skeletons Strike Back,WinterMorgan,LukeDaniels,121,2015-07-07,English,5,233,7
Dragonslayer,TuiT.Sutherland,ShannonMcManus,764,2020-03-03,English,5,656,17
A Bear Called Paddington,MichaelBond,StephenFry,159,2008-06-24,English,0,266,0
Gregor and the Curse of the Warmbloods,SuzanneCollins,PaulBoehmer,467,2004-12-26,English,0,1005,0
The Dark Secret,TuiT.Sutherland,ShannonMcManus,455,2016-01-07,English,5,575,9
The Gruffalo's Child,"JuliaDonaldson,AxelScheffler",ImeldaStaunton,22,2010-08-19,English,4.5,323,4
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,804,2017-02-05,English,5,1256,8
Keys to the Demon Prison,BrandonMull,E.B.Stevens,1057,2013-01-08,English,5,516,1
Legacy,ShannonMessenger,CaitlinKelly,1375,2019-05-11,English,5,1170,14
The Endermen Invasion,WinterMorgan,LukeDaniels,122,2015-05-26,English,5,233,5
Captain Underpants and the Revolting Revenge of the Radioactive Robo-Boxers,DavPilkey,"LenForgione,AshtonSundholm,JadenRogers",130,2021-02-11,English,5,445,1
You Only Die Twice,DanGutman,MichaelGoldstrom,349,2013-09-17,English,5,585,5
From Texas with Love,DanGutman,MichaelGoldstrom,327,2014-01-28,English,5,702,6
Across the Desert,DustiBowling,StacyGonzalez,373,2022-03-29,English,0,703,0
Unicorn Academy: Aisha and Silver,JulieSykes,KristinAtherton,94,2022-10-03,English,0,266,0
Laura Blackman and The Five Cunning Aardvarks,StellaRobson,DerekSteel,13,2021-12-15,English,0,117,0
The Dragonet Prophecy,TuiT.Sutherland,ShannonMcManus,512,2012-01-07,English,5,820,11
Dangerous Gift,TuiT.Sutherland,ShannonMcManus,471,2021-02-03,English,5,445,9
"The 39 Clues, Book 6",JudeWatson,DavidPittu,310,2009-06-11,English,5,468,4
Never Say Genius,DanGutman,MichaelGoldstrom,327,2013-08-23,English,5,585,8
The Madman of Black Bear Mountain,FranklinW.Dixon,TimGregory,174,2016-07-06,English,5,305,3
Unicorn Academy: Zara and Moonbeam,JulieSykes,KristinAtherton,95,2022-10-03,English,0,266,0
El fantasma de la bodega,FranciscoDíazValladares,NuriaSamsó,143,2022-04-04,spanish,0,192,0
El paseo encantado,Mattel,VanessaPérezJurado,33,2022-01-04,spanish,0,76,0
Wigetta,"Vegetta777,Willyrex",ÁlexdePorrata,217,2022-05-04,spanish,0,192,0
Aru Shah and the Nectar of Immortality,RoshaniChokshi,SoneelaNankani,679,2022-05-04,English,0,821,0
Barnabas der Wolkenschaufler,"SophieSchoenwald,NadineReitz-Illustrator",BerndReheuser,176,2022-04-04,german,0,200,0
The Boy in the Post,HollyRivers,SusieTrayling,418,2022-01-04,English,0,706,0
Thornwood,LeahCypess,JessicaAlmasy,341,2022-05-04,English,0,904,0
7 histoires d'aventures !,"BertrandFichou,NoraThullin,CatherinedeLasa,","GuyChappelier,FrédéricSanchez,MarieZidi,",43,2022-11-02,french,0,679,0
Le Loup qui devenait chef de la forêt,OrianneLallemand,WillProduction,9,2022-01-04,french,0,112,0
Curse of the Robo-Dragon,AdamBlade,TheoSolomon,126,2022-01-04,English,0,531,0
Call of the Crow,JessicaKhoury,"MichaelGallagher,EmilyEiden",570,2022-05-04,English,0,586,0
Glass Slippers,LeahCypess,KeylorLeigh,338,2022-05-04,English,0,904,0
Captain Underpants and the Sensational Saga of Sir Stinks-a-Lot,DavPilkey,"LenForgione,WinstonBromhead,I'keMitchell",97,2022-05-04,English,0,586,0
Tiger Honor,YoonHaLee,ElissaPark,456,2022-04-01,English,5,586,1
The Amulet of Samarkand,JonathanStroud,StevenPacey,570,2007-01-02,English,5,683,17
Rowley Jefferson's Awesome Friendly Spooky Stories,JeffKinney,ChristopherGebauer,89,2021-03-16,English,3.5,410,7
Lost in the End,WinterMorgan,SummerMcCusker,103,2016-06-04,English,5,233,5
Trouble Island,FranklinW.Dixon,TimGregory,264,2021-01-06,English,5,305,2
Terrors of the Forest,MarkCheverton,NickWalther,492,2022-01-25,English,0,703,0
Riverboat Roulette,CarolynKeene,JorjeanaMarie,166,2017-03-20,English,5,305,4
The Book of Chaos,JessicaRenwick,RebaBuhr,330,2022-03-15,English,0,1172,0
"Fortunately, the Milk...",NeilGaiman,NeilGaiman,58,2021-11-22,English,0,683,0
Discoveries in the Overworld,WinterMorgan,SummerMcCusker,109,2016-06-04,English,5,233,4
The Last Human,LeeBacon,PaulPanting,402,2019-03-10,English,5,949,7
Welcome to Smellville,R.L.Stine,"JordanFisher,DaschaPolanco,JonieceAbbott-Pratt,",198,2020-09-29,English,0,585,0
An Explorer's Guide to the Nether,WinterMorgan,SummerMcCusker,110,2016-03-30,English,5,233,4
The Midnight Gang,DavidWalliams,"DavidWalliams,PeterSerafinowicz,MorwennaBanks,",369,2016-11-15,English,4.5,322,3
As the Falcon Flies,FranklinW.Dixon,AdamVerner,188,2022-04-01,English,0,305,0
The Squad of Lucky Landing: An Unofficial Fortnite Adventure Novel,DevinHunter,RamonDeOcampo,131,2018-10-30,English,5,585,2
Pahua and the Soul Stealer,LoriM.Lee,SamanthaTan,672,2021-07-09,English,0,702,0
El monstruo marino secreto,Mattel,VanessaPérezJurado,30,2022-01-04,spanish,0,76,0
Sabotage on the Solar Express,"M.G.Leonard,SamSedgman","ElisaPaganelli,JotDavies",335,2022-02-17,English,0,323,0
A Boy Called Christmas,MattHaig,StephenFry,272,2016-03-11,English,4.5,569,21
"The 39 Clues, Book 4",JudeWatson,DavidPittu,277,2009-06-23,English,5,468,6
"The 39 Clues, Book 3",PeterLerangis,DavidPittu,231,2009-03-03,English,5,468,9
The Disappearance,FranklinW.Dixon,TimGregory,230,2019-05-14,English,4,305,1
Once Upon a Crime,RobinStevens,"KatieLeung,RebeccaLee,AlexanderCapon,",410,2021-05-08,English,0,615,0
Billionaire Boy,DavidWalliams,"DavidWalliams,NitinGanatra",188,2011-09-06,English,5,266,1
The Blue Lady of Coffin Hall,CarolynKeene,JorjeanaMarie,232,2022-04-01,English,5,305,2
Danger at Dead Man's Pass,"M.G.Leonard,SamSedgman,ElisaPaganelli-illustrator",JotDavies,408,2021-09-16,English,0,323,0
Unlocked,ShannonMessenger,CaitlinKelly,962,2021-04-06,English,3,836,5
The Danger Gang,TomFletcher,"TomFelton,TomFletcher",252,2020-01-10,English,0,615,0
Mountain Mare,TerriFarley,NatalieBudig,235,2022-01-25,English,0,398,0
The Princess in Black and the Mermaid Princess,"ShannonHale,DeanHale",JuliaWhelan,20,2022-01-02,English,0,352,0
The Vanishing Statue,CarolynKeene,JorjeanaMarie,245,2020-06-16,English,5,305,6
Eye of the Earthquake Dragon,TraceyWest,EmilyEllet,45,2020-04-08,English,5,164,1
Peril at Granite Peak,FranklinW.Dixon,TimGregory,210,2016-01-21,English,5,305,3
Barbie - Aventura espacial,"Mattel,MartaCisaMuñoz-traductor",MiriamMonlleo,12,2022-02-02,catalan,0,76,0
The Disappearance of Emily Downs,C.J.Redwine,MiaSinclairJenness,296,2021-09-30,English,5,1003,1
The Solution,KatherineApplegate,EmilyEllet,174,2021-02-11,English,0,656,0
The Great Greenfield Bake-Off,GertrudeChandlerWarner,AimeeLilly,101,2021-01-09,English,0,234,0
Into Thin Air,FranklinW.Dixon,TimGregory,159,2016-01-21,English,5,305,10
Once upon a Thriller,CarolynKeene,JorjeanaMarie,141,2015-09-24,English,5,305,12
The Magician's Nephew,C.S.Lewis,KennethBranagh,235,2005-08-29,English,5,303,7
Leonora Bolt: Secret Inventor,LucyBrandt,NicoleDavis,175,2022-01-20,English,0,410,0
The Snail and the Whale,JuliaDonaldson,ImeldaStaunton,23,2008-07-10,English,5,323,5
Tigers for Dinner,RuskinBond,AdnanKapadia,39,2017-01-01,English,4.5,284,20
The Hidden Kingdom,TuiT.Sutherland,ShannonMcManus,454,2016-01-07,English,5,575,9
Eagle Strike,AnthonyHorowitz,OliverChris,417,2021-05-20,English,5,569,2
Captain Marvel - Ultron blir viral,"Marvel,CamillaDunér",MalinLybeck,11,2022-11-01,swedish,0,32,0
Toy Story 4,"Disney,OskarBlomberg",FrederickHalbout,147,2022-07-01,swedish,0,166,0
Three Lost Seeds,"StephieMorton,NicoleWong-illustrator",StevenJayCohen,13,2022-08-02,English,0,234,0
Mystery on the Mayhem Express,FranklinW.Dixon,TimGregory,238,2021-06-22,English,5,305,1
Tunnel of Secrets,FranklinW.Dixon,TimGregory,183,2015-02-11,English,5,305,3
Barbie - La puerta secreta,"Mattel,NicolásOluchaSánchez",BeatrizOlcina,11,2021-11-29,spanish,0,38,0
A scuola con Pongo e Tim: Henry Every,GiuliaSegreti,"GiuliaSegreti,MarcoCognigni",11,2022-09-02,italian,0,75,0
Black Panther: Spellbound,RonaldL.Smith,DionGraham,338,2022-01-02,English,0,469,0
"The 39 Clues: Unstoppable, Book 3",NatalieStandiford,DavidPittu,289,2014-01-05,English,4.5,410,2
Hello Kitty - El Club de la Amistad,"Sanrio,NeusCasanovaVico",EvaAndrés,42,2021-10-11,spanish,0,76,0
Treasure Island,RobertLouisStevenson,SamTaylor,404,2019-06-09,English,4,32,4
The Human Body,Ladybird,BenBaileySmith,43,2020-09-17,English,0,410,0
Minecraft: The Dragon,NickyDrayden,NicoleLewis,411,2021-06-07,English,5,1005,1
The Christmasaurus and the Naughty List,"TomFletcher,ShaneDevries-illustrator","PaulShelley,TomFletcher",375,2021-10-14,English,0,615,0
Das Exil,"ShannonMessenger,DorisAttwood-Übersetzer",DavidNathan,945,2021-10-25,german,0,468,0
El Cerdito de Navidad [The Christmas Pig],J.K.Rowling,CristinaTenorio,438,2021-12-10,spanish,0,799,0
Big Change for Stuart,LissaEvans,LissaEvans,312,2021-01-09,English,0,664,0
The Imagination Box: Beyond Infinity,MartynFord,JoshuaMcGuire,301,2021-09-28,English,0,569,0
Camp Daze,R.L.Stine,"JamesMurray,KirbyHeyborne,InésdelCastillo,",180,2021-12-10,English,0,585,0
Vaiana,"Disney,ÅsaMalm",LisaAhnlund,175,2021-10-28,swedish,0,166,0
Myth of the Rain Forest Monster,GertrudeChandlerWarner,AimeeLilly,106,2021-01-09,English,0,234,0
Little Badman and the Time-travelling Teacher of Doom,"HumzaArshad,HenryWhite",HumzaArshad,335,2020-08-21,English,0,615,0
The Great Dream Robbery,"GregJames,ChrisSmith","GregJames,ChrisSmith",348,2021-09-16,English,0,410,0
Barbie - Superprincesa,"Mattel,NicolásOluchaSánchez",BeatrizOlcina,26,2021-10-15,spanish,0,38,0
Barbie - El campamento de princesas,Mattel,VanessaPérezJurado,33,2022-07-03,spanish,0,38,0
Barbie - Dreamtopia,Mattel,VanessaPérezJurado,21,2022-07-03,spanish,0,38,0
Barbie - Superprincesa,Mattel,VanessaPérezJurado,29,2022-07-03,spanish,0,38,0
Among Us Book - Red Diary,ZeekidMedia,TommyJay,79,2021-06-16,English,0,204,0
We’re Going to Find the Monster,"MalorieBlackman,DapoAdeola",MalorieBlackman,6,2021-10-28,English,0,410,0
Ut i det vilda,ErinHunter,MattiasLinderoth,495,2021-08-26,swedish,0,568,0
The Imagination Box: A Mind of Its Own,MartynFord,JoshuaMcGuire,377,2021-09-28,English,0,569,0
Dungeons & Dragons: The Mad Mage's Academy,MattForbeck,"GildartJackson,TimCampbell",135,2020-05-26,English,0,1172,0
Scary Stories for Young Foxes: The City,"ChristianMcKayHeidicker,JunyiWu-illustrator",ChristianMcKayHeidicker,553,2021-09-28,English,0,703,0
Med kunglig stämpel,"JeffreyArcher,MariaNilsson",MagnusSchmitz,29,2022-07-03,swedish,0,32,0
Bolt,"Disney,NilsWadström",FrederickHalbout,141,2022-07-03,swedish,0,166,0
The Tenth Son,"AyanMalpani,AshishMalpani",YohanChacko,257,2022-01-03,English,0,186,0
Escape from Falaise,JohnFlanagan,JohnKeating,457,2021-01-12,English,4.5,797,2
The Jungle Book,"RudyardKipling,LisaChurch-adaptation",RebeccaK.Reynolds,151,2020-04-08,English,0,305,0
PJ Masks - 3-Minuten-Gutenachtgeschichten,eOne,MontyArnold,31,2022-03-31,german,0,99,0
Opapi-Opapa - Volle Kraft voraus!,PaulMcCartney,KaiLüftner,11,2022-03-29,german,0,65,0
Opapi-Opapa - Besuch von den Krawaffels,PaulMcCartney,KaiLüftner,10,2022-03-29,german,0,65,0
Als Papa auf einen Knopf drückte und wir fast von einem Dino gefressen wurden,NicolasGorny,MartinBaltscheit,90,2022-03-31,german,0,300,0
Spidey og hans fantastiske venner,"Marvel,BrianIskov",MathiasKlenske,8,2022-03-29,danish,0,32,0
Phantom Stallion: Blue Wings,TerriFarley,NatalieBudig,262,2022-03-29,English,0,398,0
Super Pigiamini - Storie della buonanotte da 5 minuti,RaffaellaCasati,StefanPopa,64,2022-03-30,italian,0,113,0
Lost Island,MarcyKateConnolly,ChloeCannon,239,2022-03-29,English,0,469,0
The Boy Who Hatched Monsters,T.C.Shelley,JotDavies,573,2022-03-31,English,0,493,0
The Magic Ocean Slide & The Giant Conker,EmmaBeswetherick,HayleyWareham,133,2022-01-04,English,0,573,0
Krieg der Fluten,DanJolley,JacobWeigert,402,2022-03-30,german,0,468,0
The Secret of Splint Hall,KatieCotton,JuliaBarrie,561,2022-01-04,English,0,759,0
Tschakka! - Freunde in Sicht,MaraAndeck,MonikaOschek,149,2022-03-30,german,0,367,0
El candidato novato,JordiSierraiFabra,AnetaFernández,174,2022-01-04,spanish,0,192,0
The Call of the Silver Wibbler,HannahPeck,CharlieSanderson,93,2022-03-31,English,0,569,0
Frankie Best Hates Quests,ChrisSmith,"ChrisSmith,KariseYansen,RoyMcMillan",391,2022-03-31,English,0,410,0
Trapped in the Overworld,WinterMorgan,NicolZanzarella,114,2016-06-30,English,5,233,3
The Boy Who Biked the World: On the Road to Africa,AlastairHumphreys,AlastairHumphreys,115,2022-11-02,English,0,569,0
The 143-Storey Treehouse,"AndyGriffiths,TerryDenton",StigWemyss,100,2021-10-19,English,5,323,1
Unicorn Academy: Isla and Buttercup,JulieSykes,KristinAtherton,96,2022-10-03,English,0,266,0
Herobrine's War,MarkCheverton,NickWalther,381,2022-01-03,English,0,703,0
Small Change for Stuart,LissaEvans,LissaEvans,246,2021-01-07,English,0,664,0
The Extreme,KatherineApplegate,RamóndeOcampo,184,2022-04-01,English,0,445,0
Alain l'alien,Xavier-LaurentPetit,MarionTrintignant,11,2022-09-03,french,0,338,0
Wingfeather Tales,"AndrewPeterson-editor,JonathanRogers,N.D.Wilson,",AndrewPeterson,638,2021-03-23,English,0,1382,0
Spider-Man gegen Sandman / Spider-Man und die Marvels,"MacKenzieCadenhead,SeanRyan,AnkeAlbrecht-Übersetzer",ChristianZeiger,57,2022-03-21,german,0,166,0
Swamp Sting!,"SebastianFacio,BlakeA.Hoena",anonymous,11,2022-03-16,English,0,105,0
Poison Jungle,TuiT.Sutherland,ShannonMcManus,445,2019-07-30,English,5,656,10
39 Clues: Cahills vs. Vespers,GordonKorman,DavidPittu,322,2011-08-30,English,5,586,5
Adventure Time - Too Many Bananas & Other Stories,"RohiniNilekani,ReshmaThapa-Gurung,LavinaMahbubani","AvinashRamachander,BrianChristopher,SeetalIyer",29,2021-06-16,English,0,422,0
Blue Moon,JamesPonti,ElizabethKlett,419,2021-05-18,English,0,586,0
The Last Kids on Earth: June's Wild Flight,"MaxBrallier,DouglasHolgate",MontseHernandez,196,2020-07-04,English,5,754,3
Captain Underpants and the Terrifying Return of Tippy Tinkletrousers,DavPilkey,"LenForgione,WinstonBromhead,I'keMitchell",159,2021-02-04,English,5,492,5
Mermaids of the Deep Blue Sea,GertrudeChandlerWarner,AimeeLilly,104,2021-01-09,English,0,234,0
Flying Ninja!,AnhDo,ChristopherGebauer,56,2021-05-18,English,0,164,0
Fortress of the Stone Dragon,TraceyWest,EmilyEllet,49,2021-04-05,English,0,164,0
Zoey and Sassafras: The Pod and the Bog,AsiaCitro,JaninaEdwards,65,2021-04-13,English,0,468,0
PJ Masks - Héroes en Pijamas - ¡Los lobeznos!,"eOne,NicolásOluchaSánchez-traductor",KevinCalderón,10,2022-01-24,spanish,0,38,0
PJ Masks - Potència PJ!,"eOne,AnaC.AlcainaPerez-traductor",RogerSerradell,33,2022-01-24,catalan,0,38,0
PJ Masks - Preparats per a l’acció!,"eOne,AnaC.AlcainaPerez-traductor",RogerSerradell,12,2022-01-24,catalan,0,38,0
"Mortel un jour, Mortel toujours!",MrTan,DorothéePousseo,65,2022-01-25,french,0,529,0
Pyjamasankarit - 3 minuutin iltasatuja,"eOne,KimmoLilja",ValtteriLehtinen,36,2022-01-21,finnish,0,32,0
PJ Masks - Vet aquí en Robot PJ!,"eOne,AnaC.AlcainaPerez-traductor",RogerSerradell,9,2022-01-24,catalan,0,38,0
PJ Masks - PJ Robot,"eOne,NicolásOluchaSánchez-traductor",RogerSerradell,9,2022-01-24,spanish,0,38,0
Le géant de pierre,BertrandFichou,ClotildeDonna,7,2022-01-25,french,0,189,0
Pyjamasankarit - Nousu taikavuorelle,"eOne,KimmoLilja",ValtteriLehtinen,11,2022-01-21,finnish,0,32,0
PJ Masks - Héroes en Pijamas - Catboy y el gran rescate de la torta de cumpleaños,"eOne,NicolásOluchaSánchez-traductor",KevinCalderón,7,2022-01-24,spanish,0,38,0
Tijl en de tijdbom,LaraReims,RubenBrinkman,305,2022-01-21,dutch,0,233,0
Genius Camp,ChrisGrabenstein,KirbyHeyborne,373,2021-11-30,English,0,904,0
The Talisman of Lostland,A.M.Luzzader,JenniferJillAraya,338,2021-11-23,English,0,469,0
Star Wars: The High Republic: A Test of Courage,JustinaIreland,KeylorLeigh,274,2021-05-01,English,4,754,2
The Secret Explorers and the Plant Poachers,SJKing,AyshaKala,74,2021-07-10,English,0,410,0
The Red Slippers,CarolynKeene,JorjeanaMarie,173,2015-12-24,English,5,305,9
Captain Underpants and the Preposterous Plight of the Purple Potty People,DavPilkey,"LenForgione,WinstonBromhead,I'keMitchell",75,2021-01-19,English,5,258,1
The Magician's Secret,CarolynKeene,JorjeanaMarie,162,2015-12-24,English,4.5,305,7
The Case of the Bizarre Bouquets,NancySpringer,KatherineKellgren,219,2008-11-04,English,4.5,609,3
Shockwave,WilburSmith,ElliotChapman,356,2022-03-17,English,0,1328,0
The Phantom of Nantucket,CarolynKeene,JorjeanaMarie,196,2015-12-24,English,5,305,5
The Swamp Robber,PaulHutchens,AimeeLilly,164,2018-09-18,English,5,234,1
The Magic Finger,RoaldDahl,KateWinslet,26,2014-11-09,English,4.5,615,14
The Adventures of Captain Underpants,DavPilkey,"LenForgione,DazjonFreeman,BenD'Amico",60,2018-05-22,English,4.5,258,13
Secret at Mystic Lake,CarolynKeene,JorjeanaMarie,156,2015-09-28,English,4.5,305,14
Fight for Dusty Divot,DevinHunter,RamondeOcampo,129,2019-08-01,English,0,585,0
"I Survived the Sinking of the Titanic, 1912",LaurenTarshis,LaurenFortgang,76,2016-03-29,English,5,187,1
Showdown at Widow Creek,FranklinW.Dixon,TimGregory,166,2016-02-02,English,5,305,3
Case of the Missing Marquess,NancySpringer,KatherineKellgren,271,2008-10-22,English,4.5,726,3
Nightshade,AnthonyHorowitz,RupertDegas,607,2020-05-28,English,4.5,645,11
Mystery of the Phantom Heist,FranklinW.Dixon,TimGregory,179,2015-02-11,English,5,305,6
Mousse à l'école des pirates,EliseRengot,Jean-PaulBibé,6,2022-02-15,french,0,151,0
Riding Home Through Asia,AlastairHumphreys,AlastairHumphreys,148,2022-11-02,English,0,569,0
The Boy Who Biked the World: Riding the Americas,AlastairHumphreys,AlastairHumphreys,143,2022-11-02,English,0,569,0
El Misterio de la Montaña Azul,"Mattel,RaquelLuqueBenítez-traductor",GermánGijón,18,2022-02-14,spanish,0,115,0
Grand-mère Sucre et Grand-père Chocolat,GigiBigot,GigiBigot,4,2022-11-02,french,0,149,0
La chambre des pirates,ValérieCros,ChloéCardinaud,3,2022-09-02,french,0,149,0
Tapator le dinosaure,LessoeursBranchë,NatachaFabry,5,2022-09-02,french,0,149,0
Une pomme pour deux,VéroniqueMassenot,MartialLeMinoux,2,2022-10-02,french,0,149,0
Roméo et Biquette,FabienneTeyssèdre,OlivierClément,6,2022-09-02,french,0,149,0
Bienvenue chez Vampirette,SégolèneValente,StéphanieHédin,18,2022-10-02,french,0,263,0
"Toc, toc ! Qui est là ?",LessoeursBranchë,OlivierClément,3,2022-09-02,french,0,149,0
Un poisson nommé Marina,MathildeLossel,NatachaFabry,6,2022-09-02,french,0,149,0
Du lait pour mon chat,PascaleChenel,VanessaParachou,3,2022-10-02,french,0,149,0
Le grand voyage de Nils Holgersson,CatherinedeLasa,PatriceBaudrier,8,2022-10-02,french,0,187,0
Qui veut jouer avec Renard ?,LessoeursBranchë,Jean-PaulBibé,3,2022-09-02,french,0,149,0
Le petit roi Moi Moi Moi !,JeanLeroy,MartialLeMinoux,2,2022-10-02,french,0,149,0
Pas de lunettes sur ma tête !,MyriamDoinet,AnneLehmann,6,2022-09-02,french,0,149,0
Penny Berry y la batalla de Cairngorms,LluisPrats,ArantxadeSarabia,422,2022-09-02,spanish,0,307,0
Marvel - Tillbaka till urtiden,Marvel,BenjaminHagberg,7,2022-08-02,swedish,0,32,0
Thor - Begynnelsen - Fin Fang Fooms uppgång och fall!,"Marvel,CamillaDunér",BenjaminHagberg,14,2022-08-02,swedish,0,32,0
Black Panther - Kampen om Wakanda,"Marvel,CatoVandrare",BenjaminHagberg,61,2022-08-02,swedish,0,65,0
Ali Baba and the Forty Thieves,BKFKStudio,GrantSwanby,16,2022-08-02,English,0,116,0
La fée Fifolette a cassé sa baguette,MimiZagarriga,VanessaParachou,4,2022-09-02,french,0,149,0
Le gros chagrin d'Edgar,XavierGorce,PatriceBaudrier,6,2022-09-02,french,0,187,0
Qui a volé le diamant de Big Jack ?,OlivierDupin,GuyChapellier,7,2022-09-02,french,0,187,0
La fée Fifolette déclenche des tempêtes,MimiZagarriga,VanessaParachou,3,2022-09-02,french,0,149,0
Le petit chevalier courageux,ClaudeProthée,PatriceBaudrier,6,2022-09-02,french,0,187,0
La banda della zuppa di piselli,RiekePatwardhan,MarcoQuaglia,168,2022-10-02,italian,0,305,0
Princesse Sarah,FrancesBurnett,EmmanuelleLemée,91,2022-08-02,french,0,225,0
Le voleur d'Edith,FrancesBurnett,EmmanuelleLemée,36,2022-08-02,french,0,225,0
Veinte mil leguas de viaje submarino,JulioVerne,CarlosCuevas,931,2022-04-02,spanish,0,959,0
Historias de miedo,"Mattel,RaquelLuqueBenítez-traductor",GermánGijón,10,2022-08-02,spanish,0,76,0
Misterio en las vías,"Mattel,RaquelLuqueBenítez-traductor",GermánGijón,20,2022-08-02,spanish,0,115,0
Sofabanditen oder Die verrückte Befreiung der Hühner,JudithKleinschmidt,ConstanzeWeinig,144,2022-08-02,german,0,367,0
En el infierno,"Vegetta777,Willyrex",ÁlexdePorrata,225,2022-07-02,spanish,0,192,0
PJ Masks: Carrera en la Montaña Misteriosa,"eOne,NicolásOluchaSánchez-traductor",KevinCalderón,12,2022-03-02,spanish,0,38,0
